"","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA"
"193","A-Laatutarvike","Kaivosvoudintie 1 A","01610","Vantaa","Kaivoksela","","Autokorjaamot"
"194","AAA-Siivous Oy","Arentipolku 3","00410","Helsinki","Helsinki","","Siivouspalvelut"
"197","Aarikka","Pohjoisesplanadi 27","00100","Helsinki","Kluuvi","","Sekatavarakaupat"
"198","Aarikka","Nokiantie 2-4 C","00510","Helsinki","Vallila","","Sekatavarakaupat"
"211","ABC-automaatti","Juvankartanontie 33","02920","Espoo","Niipperi","","Huoltoasemat"
"212","ABC-automaatti","Kivenlahdentie 9","02320","Espoo","Espoonlahti","","Huoltoasemat"
"213","ABC-automaatti","Miestentie 1","02150","Espoo","Otaniemi","","Huoltoasemat"
"214","ABC-automaatti","Niittymaantie 4","02200","Espoo","Niittykumpu","","Huoltoasemat"
"228","ABC-automaatti","Huokotie 1","00770","Helsinki","Jakomäki","","Huoltoasemat"
"229","ABC-automaatti","Kirkonkyläntie 39","00780","Helsinki","Ylä-Malmi","","Huoltoasemat"
"230","ABC-automaatti","Vanhanlinnantie 5","00900","Helsinki","Puotinharju","","Huoltoasemat"
"231","ABC-automaatti","Pihlajistontie 2","00710","Helsinki","Viikin tiedepuisto","","Huoltoasemat"
"232","ABC-automaatti","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Huoltoasemat"
"233","ABC-automaatti","Mannerheimintie 78","00250","Helsinki","Taka-Töölö","","Huoltoasemat"
"468","ABC-automaatti","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Huoltoasemat"
"488","ABC-liikennemyymälä","Kauniaistentie","02630","Espoo","Sepänkylä","","Liikennemyymälät"
"489","ABC-liikennemyymälä","Abc Nihtisilta","02630","Espoo","Nuijala","","Liikennemyymälät"
"498","ABC-liikennemyymälä","Ohrahuhdantie 8","00680","Helsinki","Tuomarinkartano","","Liikennemyymälät"
"499","ABC-liikennemyymälä","Rahtarinkatu 2","00980","Helsinki","Niinisaari","","Liikennemyymälät"
"588","ABC-liikennemyymälä","Koivukylänväylä 66","01390","Vantaa","Koivukylä","","Liikennemyymälät"
"593","Accessorize","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"594","Accessorize","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"595","Accessorize","Mannerheimintie 20 A","00100","Helsinki","Kluuvi","","Vaatekaupat"
"596","Adatto","Asematie 3","01300","Vantaa","Tikkurila","","Vaatekaupat"
"597","Adatto Oy","Asematie 3","01300","Vantaa","Tikkurila","","Vaatekaupat"
"598","AF-Systems","Kirstinkatu 15","00510","Espoo","Suvela","","Tietokoneliikkeet"
"691","Aino","Pohjoisesplanadi 21","00100","Helsinki","Kluuvi","","Ravintolat"
"692","Aino-Shop","Fredrikinkatu 33","00120","Helsinki","Punavuori","","Vaatekaupat"
"696","Akateeminen Kirjakauppa","Länsituulentie 10","02100","Espoo","Tapiola","","Kirjakaupat"
"697","Akateeminen Kirjakauppa","Keskuskatu 1","00101","Helsinki","Kluuvi","","Kirjakaupat"
"698","Akateeminen Kirjakauppa","Itäkatu 1 C","00930","Helsinki","Itäkeskus","","Kirjakaupat"
"702","Akateeminen Kirjakauppa","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Kirjakaupat"
"706","Aktia pankki","Espoonlahdenkatu 1","02320","Espoo","Espoonlahti","","Pankit"
"707","Aktia pankki","Kamreerintie 5","02770","Espoo","Suvela","","Pankit"
"708","Aktia pankki","Länsituulenkuja 3","02100","Espoo","Tapiola","","Pankit"
"710","Aktia pankki","Itäkatu 1-5","00930","Helsinki","Itäkeskus","","Pankit"
"711","Aktia pankki","Hakaniemenranta 1","00530","Helsinki","Siltasaari","","Pankit"
"712","Aktia pankki","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Pankit"
"713","Aktia pankki","Mannerheimintie 14","00100","Helsinki","Kluuvi","","Pankit"
"714","Aktia pankki","Lauttasaarentie 39","00200","Helsinki","Lauttasaari","","Pankit"
"715","Aktia pankki","Raumantie 1","00350","Helsinki","Munkkivuori","","Pankit"
"716","Aktia pankki","Sandelsinkatu 6","00260","Helsinki","Taka-Töölö","","Pankit"
"720","Aktia pankki","Promenadiaukio 1","02700","Kauniainen"," ","","Pankit"
"753","Aktia pankki","Kilterinraitti 6","01600","Vantaa","Myyrmäki","","Pankit"
"754","Aktia pankki","Asematie 2","01300","Vantaa","Tikkurila","","Pankit"
"755","Aktia Yrityspankki","Mechelininkatu 1 A","00180","Helsinki","Kamppi","","Pankit"
"756","Akvaario Arena","Helsinginkatu 14","00500","Helsinki","Harju","","Eläinkaupat"
"757","Akvaario Kurki","Unikkotie 2","01300","Vantaa","Tikkurila","","Eläinkaupat"
"758","Akvaarioliike Leppävaario","Timpurinkuja 2","02650","Espoo","Pohjois-Leppävaara","","Eläinkaupat"
"769","Aleksi 13","Piispansilta 9","02230","Espoo","Matinkylä","","Vaatekaupat"
"770","Aleksi 13","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"772","Aleksi 13","Aleksanterinkatu 13","00100","Helsinki","Kluuvi","","Vaatekaupat"
"773","Aleksi 13","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Vaatekaupat"
"794","Aleksi 13","Asematie 4-10","01300","Vantaa","Tikkurila","","Vaatekaupat"
"795","Aleksi 13","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Vaatekaupat"
"796","Alepa","Karakalliontie 10","02620","Espoo","Karakallio","","Ruokakaupat"
"797","Alepa","Kirstintie 19-21","02760","Espoo","Suvela","","Ruokakaupat"
"798","Alepa","Merivirta 5","02320","Espoo","Kivenlahti","","Ruokakaupat"
"799","Alepa","Kirvuntie 22","02140","Espoo","Pohjois-Laajalahti","","Ruokakaupat"
"800","Alepa","Lansantie 23","02630","Espoo","Nuijala","","Ruokakaupat"
"801","Alepa","Läkkisepänkuja 3","02600","Espoo","Pohjois-Leppävaara","","Ruokakaupat"
"802","Alepa","Mankkaanaukio 2","02180","Espoo","Vanha-Mankkaa","","Ruokakaupat"
"803","Alepa","Matinkatu 22","02230","Espoo","Matinkylä","","Ruokakaupat"
"804","Alepa","Otakaari 11","02150","Espoo","Otaniemi","","Ruokakaupat"
"805","Alepa","Soukantie 4","02360","Espoo","Soukanmäki","","Ruokakaupat"
"806","Alepa","Sokinsuontie 4","02760","Espoo","Suvela","","Ruokakaupat"
"807","Alepa","Kuusiniementie 1","02710","Espoo","Viherlaakso","","Ruokakaupat"
"808","Alepa","Nihtisilta 4","02630","Espoo","Nuijala","","Ruokakaupat"
"809","Alepa","Linnuntie 2","02660","Espoo","Lintukorpi","","Ruokakaupat"
"810","Alepa","Pakilantie 95","00670","Helsinki","Paloheinä","","Ruokakaupat"
"811","Alepa","Kaivokatu 8","00100","Helsinki","Kluuvi","","Ruokakaupat"
"812","Alepa","Elielinaukio 5","00100","Helsinki","Kluuvi","","Ruokakaupat"
"813","Alepa","Helsinginkatu 18","00530","Helsinki","Harju","","Ruokakaupat"
"814","Alepa","Hiihtomäentie 14","00810","Helsinki","Länsi-Herttoniemi","","Ruokakaupat"
"815","Alepa","Pohjoinen Hesperiankatu 5","00260","Helsinki","Taka-Töölö","","Ruokakaupat"
"816","Alepa","Hämeentie 25","00500","Helsinki","Sörnäinen","","Ruokakaupat"
"817","Alepa","Iso Roobertinkatu 21-25","00120","Helsinki","Punavuori","","Ruokakaupat"
"818","Alepa","Castreninkatu 9-11","00530","Helsinki","Linjat","","Ruokakaupat"
"819","Alepa","Salomonkatu 19","00100","Helsinki","Kamppi","","Ruokakaupat"
"820","Alepa","Vanhaistentie 1","00420","Helsinki","Kannelmäki","","Ruokakaupat"
"821","Alepa","Merisotilaantori 1","00160","Helsinki","Katajanokka","","Ruokakaupat"
"822","Alepa","Mannerheimintie 76","00250","Helsinki","Taka-Töölö","","Ruokakaupat"
"823","Alepa","Kontulankaari 8","00940","Helsinki","Kontula","","Ruokakaupat"
"824","Alepa","Kirkkokatu 2","00170","Helsinki","Kruununhaka","","Ruokakaupat"
"825","Alepa","Kyösti Kallion tie 2","00570","Helsinki","Kulosaari","","Ruokakaupat"
"826","Alepa","Koskelantie 19 B","00610","Helsinki","Käpylä","","Ruokakaupat"
"827","Alepa","Yliskyläntie 3","00840","Helsinki","Yliskylä","","Ruokakaupat"
"828","Alepa","Lönnrotinkatu 24","00180","Helsinki","Kamppi","","Ruokakaupat"
"829","Alepa","Mannerheimintie 102","00250","Helsinki","Taka-Töölö","","Ruokakaupat"
"830","Alepa","Metsäpurontie 23","00630","Helsinki","Maunula","","Ruokakaupat"
"831","Alepa","Korvatunturintie 2","00970","Helsinki","Mellunmäki","","Ruokakaupat"
"832","Alepa","Munkkiniemen Puistotie 20","00330","Helsinki","Vanha Munkkiniemi","","Ruokakaupat"
"833","Alepa","Solnantie 35","00330","Helsinki","Vanha Munkkiniemi","","Ruokakaupat"
"834","Alepa","Kylänvanhimmantie 29","00640","Helsinki","Oulunkylä","","Ruokakaupat"
"835","Alepa","Pasilanraitio 5","00240","Helsinki","Länsi-Pasila","","Ruokakaupat"
"836","Alepa","Perämiehenkatu 10","00150","Helsinki","Punavuori","","Ruokakaupat"
"837","Alepa","Salpausseläntie 11","00710","Helsinki","Pihlajisto","","Ruokakaupat"
"838","Alepa","Mannerheimintie 170","00300","Helsinki","Taka-Töölö","","Ruokakaupat"
"839","Alepa","Näyttelijäntie 14","00400","Helsinki","Pohjois-Haaga","","Ruokakaupat"
"840","Alepa","Pohjolankatu 43","00610","Helsinki","Käpylä","","Ruokakaupat"
"841","Alepa","Porvoonkatu 22","00510","Helsinki","Alppila","","Ruokakaupat"
"842","Alepa","Puistolanraitti 11","00760","Helsinki","Puistola","","Ruokakaupat"
"843","Alepa","Säterintie 2","00720","Helsinki","Pukinmäki","","Ruokakaupat"
"844","Alepa","Roihuvuorentie 26","00820","Helsinki","Roihuvuori","","Ruokakaupat"
"845","Alepa","Runeberginkatu 58","00260","Helsinki","Taka-Töölö","","Ruokakaupat"
"846","Alepa","Sitratie 7","00420","Helsinki","Kannelmäki","","Ruokakaupat"
"847","Alepa","Sturenkatu 27","00510","Helsinki","Vallila","","Ruokakaupat"
"848","Alepa","Sturenkatu 40","00550","Helsinki","Vallila","","Ruokakaupat"
"849","Alepa","Töölöntorinkatu 6","00260","Helsinki","Taka-Töölö","","Ruokakaupat"
"850","Alepa","Vuorimiehenkatu 29","00140","Helsinki","Ullanlinna","","Ruokakaupat"
"851","Alepa","Mäkelänkatu 11","00550","Helsinki","Vallila","","Ruokakaupat"
"852","Alepa","Vartiokyläntie 3","00950","Helsinki","Vartioharju","","Ruokakaupat"
"853","Alepa","Viherniemenkatu 9","00530","Helsinki","Siltasaari","","Ruokakaupat"
"854","Alepa","Pursimiehenkatu 4-6","00150","Helsinki","Punavuori","","Ruokakaupat"
"855","Alepa","Ulappasaarentie 2","00980","Helsinki","Keski-Vuosaari","","Ruokakaupat"
"856","Alepa","Korsholmantie 2","00900","Helsinki","Itäkeskus","","Ruokakaupat"
"857","Alepa","Liisankatu 14","00170","Helsinki","Kruununhaka","","Ruokakaupat"
"858","Alepa","Antti Korpin tie 3","00600","Helsinki","Koskela","","Ruokakaupat"
"859","Alepa","Aleksanterinkatu 9","00100","Helsinki","Kluuvi","","Ruokakaupat"
"860","Alepa","Rahtarinkatu 2","00980","Helsinki","Niinisaari","","Ruokakaupat"
"861","Alepa","Ohrahuhdantie 8","00680","Helsinki","Tuomarinkartano","","Ruokakaupat"
"862","Alepa","Kotinummentie 68","00730","Helsinki","Tapaninvainio","","Ruokakaupat"
"863","Alepa","Ruoholahdenkatu 23","00180","Helsinki","Kamppi","","Ruokakaupat"
"864","Alepa","Runeberginkatu 28","00100","Helsinki","Etu-Töölö","","Ruokakaupat"
"865","Alepa","Kettutie 2","00800","Helsinki","Länsi-Herttoniemi","","Ruokakaupat"
"866","Alepa","Mannerheimintie 20","00100","Helsinki","Kluuvi","","Ruokakaupat"
"867","Alepa","Puustellinkuja 2","00410","Helsinki","Malminkartano","","Ruokakaupat"
"868","Alepa","Seunalantie 4","00730","Helsinki","Tapanila","","Ruokakaupat"
"869","Alepa","Norkkokuja 3","00790","Helsinki","Latokartano","","Ruokakaupat"
"878","Alepa","Leinikkitie 22","01350","Vantaa","Simonkylä","","Ruokakaupat"
"879","Alepa","Koivukylän Puistotie 1","01360","Vantaa","Havukoski","","Ruokakaupat"
"880","Alepa","Kuulakuja 5","01280","Vantaa","Länsimäki","","Ruokakaupat"
"881","Alepa","Kilpakuja 1","01280","Vantaa","Länsimäki","","Ruokakaupat"
"882","Alepa","Nissaksentie 1","01200","Vantaa","Hakunila","","Ruokakaupat"
"883","Alepa","Nuijatie 12","01650","Vantaa","Vapaala","","Ruokakaupat"
"884","Alepa","Laajaniityntie 2","01620","Vantaa","Martinlaakso","","Ruokakaupat"
"885","Alepa","Lentäjäntie 3","01530","Vantaa","Lentokenttä","","Ruokakaupat"
"886","Alepa","Hagelstamintie 32","01500","Vantaa","Pakkala","","Ruokakaupat"
"887","Alepa","Koivukylänväylä 66","01390","Vantaa","Koivukylä","","Ruokakaupat"
"888","Alepub","Mannerheimintie 5","00100","Helsinki","Kluuvi","","Baarit ja yökerhot"
"889","Alfa Moda","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"899","Alko","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Alkot"
"900","Alko","Piispansilta 11","02230","Espoo","Matinkylä","","Alkot"
"901","Alko","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Alkot"
"902","Alko","Sinikalliontie 1-3","02630","Espoo","Taavinkylä","","Alkot"
"903","Alko","Niittykummuntie 2","02200","Espoo","Niittykumpu","","Alkot"
"904","Alko","Komeetankatu 2","02210","Espoo","Kuitinmäki","","Alkot"
"905","Alko","Siltakatu 11","02770","Espoo","Suvela","","Alkot"
"906","Alko","Lähderanta 1","02720","Espoo","Lähderanta","","Alkot"
"907","Alko","Tapionaukio 4","02100","Espoo","Tapiola","","Alkot"
"930","Alko","Hämeentie 109-111 B 9","00560","Helsinki","Toukola","","Alkot"
"931","Alko","Salomonkatu 1","00100","Helsinki","Kamppi","","Alkot"
"932","Alko","Hietalahdenranta 5","00120","Helsinki","Punavuori","","Alkot"
"933","Alko","Siltasaarenkatu 18-20","00530","Helsinki","Siltasaari","","Alkot"
"934","Alko","Insinöörinkatu 2","00880","Helsinki","Herttoniemenranta","","Alkot"
"935","Alko","Ratapihantie 3","00520","Helsinki","Itä-Pasila","","Alkot"
"936","Alko","Kauppakartanonkatu 3","00930","Helsinki","Itäkeskus","","Alkot"
"937","Alko","Helsinginkatu 15","00500","Helsinki","Harju","","Alkot"
"938","Alko","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Alkot"
"939","Alko","Fabianinkatu 9-11","00130","Helsinki","Kaartinkaupunki","","Alkot"
"940","Alko","Ostostie 4","00940","Helsinki","Kontula","","Alkot"
"941","Alko","Maurinkatu 8-12","00170","Helsinki","Kruununhaka","","Alkot"
"942","Alko","Panuntie 11","00620","Helsinki","Patola","","Alkot"
"943","Alko","Ala-Malmin tori 5","00700","Helsinki","Ala-Malmi","","Alkot"
"944","Alko","Topeliuksenkatu 43","00250","Helsinki","Taka-Töölö","","Alkot"
"945","Alko","Raumantie 1","00350","Helsinki","Munkkivuori","","Alkot"
"946","Alko","Takomotie 33","00380","Helsinki","Pitäjänmäki","","Alkot"
"947","Alko","Itämerenkatu 21","00180","Helsinki","Ruoholahti","","Alkot"
"948","Alko","Mannerheimintie 9","00100","Helsinki","Kluuvi","","Alkot"
"949","Alko","Sandelsinkatu 4","00260","Helsinki","Taka-Töölö","","Alkot"
"950","Alko","Vuorimiehenkatu 33","00140","Helsinki","Ullanlinna","","Alkot"
"951","Alko","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Alkot"
"952","Alko","Aleksanterinkatu 52","00100","Helsinki","Kluuvi","","Alkot"
"953","Alko","Itäkatu 1-5 B 61","00930","Helsinki","Itäkeskus","","Alkot"
"954","Alko","Pakilantie 46-48","00660","Helsinki","Länsi-Pakila","","Alkot"
"955","Alko","Ajomiehentie 1","00390","Helsinki","Konala","","Alkot"
"956","Alko","Vanhanlinnantie 1","00900","Helsinki","Puotinharju","","Alkot"
"957","Alko","Mannerheimintie 20","00100","Helsinki","Kamppi","","Alkot"
"958","Alko","Viikintori 3","00790","Helsinki","Viikin tiedepuisto","","Alkot"
"1007","Alko","Kauniaistentie 7","02700","Kauniainen"," ","","Alkot"
"1219","Alko","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Alkot"
"1220","Alko","Valuuttakatu 2","01510","Vantaa","Pakkala","","Alkot"
"1221","Alko","Minkkikuja 4","01450","Vantaa","Metsola","","Alkot"
"1222","Alko","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Alkot"
"1223","Alko","Valimotie 9","01510","Vantaa","Tammisto","","Alkot"
"1224","Alko","Peltolantie 1","01300","Vantaa","Viertola","","Alkot"
"1225","Alko","Ainontie 1","01630","Vantaa","Hämeenkylä","","Alkot"
"1226","Alko","Helsinki-Vantaan Lentoasema","01530","Vantaa","Lentokenttä","","Alkot"
"1227","Alko","Ojalehdonkuja 1","01400","Vantaa","Asola","","Alkot"
"1235","Alppilan apteekki","Helsinginkatu 24","00530","Helsinki","Alppila","","Apteekit"
"1237","Amarillo","Mikonkatu 9","00100","Helsinki","Kluuvi","","Ravintolat"
"1258","Amarillo","Hertaksentie 2","01300","Vantaa","Tikkurila","","Ravintolat"
"1259","Amarillo","Tasetie 8","01510","Vantaa","Pakkala","","Ravintolat"
"1260","Amigo","Tehtaankatu 12","00140","Helsinki","Ullanlinna","","Ravintolat"
"1261","Amoena","Bulevardi 30","00120","Helsinki","Kamppi","","Vaatekaupat"
"1262","Amos Andersonin taidemuseo","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Museot"
"1263","Anetta","Vanhanlinnantie 3 C","00900","Helsinki","Puotinharju","","Vaatekaupat"
"1266","Anne Linnonmaa- ecological fashion","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1267","Annensoppi","Fredrikinkatu 68","00100","Helsinki","Etu-Töölö","","Lahjatavarakaupat"
"1270","Anttila","Espoonlahdenkatu 4-6","02320","Espoo","Espoonlahti","","Sekatavarakaupat"
"1271","Anttila","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Sekatavarakaupat"
"1272","Anttila","Itäkatu 3-5","00930","Helsinki","Itäkeskus","","Sekatavarakaupat"
"1273","Anttila","Salomonkatu 13","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"1274","Anttila","Kaivokatu 8","00100","Helsinki","Kluuvi","","Sekatavarakaupat"
"1297","Anttila","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Sekatavarakaupat"
"1298","Anttila","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Sekatavarakaupat"
"1304","Apteekki Bulevardia","Bulevardi 13","00120","Helsinki","Kamppi","","Apteekit"
"1305","Apteekki Elixir","Hevosenkenkä 3","02600","Espoo","Etelä-Leppävaara","","Apteekit"
"1307","Apteekki Isokannel","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Apteekit"
"1310","Apteekki Maunula","Pakilantie 10","00630","Helsinki","Maunula","","Apteekit"
"1311","Apteekki Medena","Itäkatu 1-5 A 23","00930","Helsinki","Itäkeskus","","Apteekit"
"1314","Apteekki Punavuori","Fredrikinkatu 23","00120","Helsinki","Punavuori","","Apteekit"
"1318","Apteekkimarket","Jaakonkatu 3","00100","Helsinki","Kamppi","","Apteekit"
"1319","Apuhara Oy","Linnavuorentie 19","00950","Helsinki","Vartioharju","","Sisustusliikkeet"
"1320","Arabianrannan apteekki","Hämeentie 111","00560","Helsinki","Arabianranta","","Apteekit"
"1321","Arabianrannan kirjasto","Hämeentie 135 A","00099","Helsinki","Arabianranta","","Kirjastot"
"1322","Armini Bar & Grill","Aleksanterinkatu 9","00100","Helsinki","Kluuvi","","Ravintolat"
"1324","Arnolds","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Kahvilat"
"1325","Arnolds","Piispansilta 11","02230","Espoo","Matinkylä","","Kahvilat"
"1326","Arnolds","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kahvilat"
"1327","Arnolds","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Kahvilat"
"1328","Arnolds","Itäkatu 1-7","00930","Helsinki","Itäkeskus","","Kahvilat"
"1329","Arnolds","Kaivokatu 8","00100","Helsinki","Kluuvi","","Kahvilat"
"1330","Arnolds","Mannerheimintie 20","00100","Helsinki","Kluuvi","","Kahvilat"
"1354","Arnolds","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Kahvilat"
"1355","Aron Soitin","Runeberginkatu 25","00100","Helsinki","Etu-Töölö","","Musiikkiliikkeet"
"1358","Aseanic Trading","Kolmas Linja 3","00530","Helsinki","Linjat","","Ruokakaupat"
"1359","Asematunnelin apteekki","Kaivokatu 6","00100","Helsinki","Kluuvi","","Apteekit"
"1360","Asian Food Market","Kirstinmäki 5","02760","Espoo","Suvela","","Ruokakaupat"
"1362","Asko","Martinsillantie 2","02270","Espoo","Eestinmalmi","","Sisustusliikkeet"
"1363","Asko","Espoontie 25","02740","Espoo","Karvasmäki","","Sisustusliikkeet"
"1365","Asko","Varikkotie 2","00880","Helsinki","Roihupelto","","Sisustusliikkeet"
"1394","Asko","Martinkyläntie 47","01720","Vantaa","Varisto","","Sisustusliikkeet"
"1395","Asko","Porttisuontie 1","01200","Vantaa","Kuninkaala","","Sisustusliikkeet"
"1398","Asukaskahvila Fokka","Meri-Rastilan tie 14 B","00980","Helsinki","Meri-Rastila","","Kahvilat"
"1402","Audiodivari","Kolmas Linja 19","00530","Helsinki","Linjat","","Elektroniikkaliikkeet"
"1407","Aurinko","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"1411","Autokorjaamo Master","Sahaajankatu 26","00880","Helsinki","Herttoniemi","","Autokorjaamot"
"1414","Autopesu-Center","Malminkartanonkuja 1","00390","Helsinki","Konala","","Pesulat"
"1415","Autopesu-Center","Mekaanikonkatu 43","00880","Helsinki","Herttoniemi","","Pesulat"
"1416","Autopesula Auto Likavex","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Pesulat"
"1419","Avikaisen leipomo","Franzeninkatu 10","00500","Helsinki","Torkkelinmäki","","Leipomot"
"1420","Avoline Oy / Ergotron prod.","Laippatie 19 A","00880","Helsinki","Roihupelto","",""
"1422","AZ-Mesopotamia","Vilhonkatu 6","00100","Helsinki","Kluuvi","","Ravintolat"
"1423","Azoros","Meritullinkatu 5","00170","Helsinki","Kruununhaka","","Ravintolat"
"1425","Baari Baari Porvoonkadun Baari","Porvoonkatu 19","00530","Helsinki","Alppila","","Baarit ja yökerhot"
"1427","Backstreet","Yrjönkatu 26 B","00100","Helsinki","Kamppi","","Vaatekaupat"
"1428","Baker's Bar & Restaurant","Mannerheimintie 12","00100","Helsinki","Kluuvi","","Ravintolat"
"1429","Ballerina Shop","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Muut"
"1430","Baltian Elintarvikkeet Oy","Kuunkehrä 2","02210","Espoo","Kuitinmäki","","Ruokakaupat"
"1432","Bar & Restaurant Fokka","Sulhasenkuja 3","00180","Helsinki","Ruoholahti","","Ravintolat"
"1435","Bar Jarro","Itätuulenkuja 10","02100","Espoo","Tapiola","","Baarit ja yökerhot"
"1436","Bar52","Heikkiläntie 2","00210","Helsinki","Lauttasaari","","Ravintolat"
"1437","Bauhaus","Rusthollarinkatu 6","02270","Espoo","Hannus","","Sekatavarakaupat"
"1441","Bauhaus","Valimotie 19","01510","Vantaa","Tammisto","","Sekatavarakaupat"
"1442","BBQ House","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"1444","Beauty Studio Phoenix","Ojalehdonkuja 1","01400","Vantaa","Asola","","Parturit ja kampaamot"
"1446","Bebes","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Muut"
"1448","Beefy King","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Ravintolat"
"1449","Belizia","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Laukkuliikkeet"
"1450","Belizia","Itäkatu 7","00930","Helsinki","Itäkeskus","","Laukkuliikkeet"
"1451","Belizia","Keskuskatu 3","00100","Helsinki","Kluuvi","","Laukkuliikkeet"
"1453","Belizia","Vantaanportinkatu 3","01530","Vantaa","Pakkala","","Laukkuliikkeet"
"1457","Benetton","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"1458","Benetton & Sisley","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Vaatekaupat"
"1459","Benico","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"1464","Best Western","Nuijamiestentie 10","00320","Helsinki","Etelä-Haaga","","Hotellit"
"1465","Best Western","Merikasarminkatu 1 A","00160","Helsinki","Katajanokka","","Hotellit"
"1466","Best Western","Kaisaniemenkatu 3","00100","Helsinki","Kluuvi","","Hotellit"
"1476","Best Western","Veromäentie 1","01510","Vantaa","Pakkala","","Hotellit"
"1477","Bierhuis Rotterdam","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"1480","Bik Bok","Länsituulentie 12","02100","Espoo","Tapiola","","Vaatekaupat"
"1481","Bik Bok","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
