Postinumero-kunta-avain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aluejako: 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom! Postinumeroalueen kunta on m„„ritelty sen mukaan, mink„ kunnan puolella suurin osa postinumeroalueen pinta-alasta sijaitsee.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Postinumeroalue;Postinumeroalueen nimi;Postinumeroalueen nimi (sv);Kunta;Kunnan nimi;Kunnan nimi (sv);Kuntaryhm„;Kuntaryhm„n nimi;Seutukunta;Seutukunnan nimi;Maakunta;Maakunnan nimi;Suuralue;Suuralueen nimi;AVI;AVI:n nimi;ELY;ELY:n nimi;NUTS 1;NUTS 1 nimi;NUTS 2;NUTS 2 nimi;NUTS 3;NUTS 3 nimi;Sairaanhoitopiiri;Sairaanhoitopiirin nimi;Vaalipiiri;Vaalipiirin nimi;Hovioikeus;Hovioikeuden nimi;K„r„j„oikeus;K„r„j„oikeuden nimi
85200;Alavieska Keskus;Alavieska centrum;009;Alavieska;Alavieska;3;Maaseutumaiset kunnat;177;Ylivieska;17;Pohjois-Pohjanmaa;4;Pohjois- ja It„-Suomi;5;Pohjois-Suomen AVI;13;Pohjois-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI1D;Pohjois- ja It„-Suomi;FI1D6;Pohjois-Pohjanmaa;18;Pohjois-Pohjanmaan SHP;14;Oulun vaalipiiri;6;Rovaniemen hovioikeus;768;Ylivieska-Raahe
85210;K„ht„v„;K„ht„v„;009;Alavieska;Alavieska;3;Maaseutumaiset kunnat;177;Ylivieska;17;Pohjois-Pohjanmaa;4;Pohjois- ja It„-Suomi;5;Pohjois-Suomen AVI;13;Pohjois-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI1D;Pohjois- ja It„-Suomi;FI1D6;Pohjois-Pohjanmaa;18;Pohjois-Pohjanmaan SHP;14;Oulun vaalipiiri;6;Rovaniemen hovioikeus;768;Ylivieska-Raahe
85230;Talus;Talus;009;Alavieska;Alavieska;3;Maaseutumaiset kunnat;177;Ylivieska;17;Pohjois-Pohjanmaa;4;Pohjois- ja It„-Suomi;5;Pohjois-Suomen AVI;13;Pohjois-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI1D;Pohjois- ja It„-Suomi;FI1D6;Pohjois-Pohjanmaa;18;Pohjois-Pohjanmaan SHP;14;Oulun vaalipiiri;6;Rovaniemen hovioikeus;768;Ylivieska-Raahe
61150;Syd„nmaa;Syd„nmaa;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
61170;S„„skiniemi;S„„skiniemi;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63210;Niinimaa;Niinimaa;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63300;Alavus Keskus;Alavus centrum;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63320;Kattelus;Kattelus;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63330;Pahajoki;Pahajoki;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63340;Sapsalampi;Sapsalampi;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63350;Sulkavankyl„;Sulkavankyl„;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63355;Sein„j„rvi;Sein„j„rvi;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63360;Kuivaskyl„;Kuivaskyl„;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63370;Taipalus;Taipalus;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63400;Alavus Asemanseutu;Alavo stationsamh„lle;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63410;Rantat”ys„;Rantat”ys„;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63430;K„tk„njoki;K„tk„njoki;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63600;T”ys„ Keskus;T”ys„ centrum;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63610;Tuuri;Tuuri;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63640;Ritola;Ritola;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63680;Hakoj„rvi;Hakoj„rvi;010;Alavus;Alavus;3;Maaseutumaiset kunnat;144;Kuusiokunnat;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
17130;Vesivehmaa;Vesivehmaa;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17150;Uraj„rvi;Uraj„rvi;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17200;V„„ksy Keskus;V„„ksy centrum;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17220;Pietil„;Pietil„;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17240;Kalkkinen;Kalkkinen;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17320;Asikkala;Asikkala;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17410;Viitaila;Viitaila;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17430;Kurhila;Kurhila;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17440;V„himaa;V„himaa;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
17450;Iso-ini”-V„himaa;Iso-ini”-V„himaa;016;Asikkala;Asikkala;2;Taajaan asutut kunnat;071;Lahti;07;P„ij„t-H„me;2;Etel„-Suomi;1;Etel„-Suomen AVI;04;H„meen ELY-keskus;FI1;MANNER-SUOMI;FI1C;Etel„-Suomi;FI1C3;P„ij„t-H„me;07;P„ij„t-H„meen SHP;06;H„meen vaalipiiri;5;Kouvolan hovioikeus;729;P„ij„t-H„me
07230;Monninkyl„;Monninkyl„;018;Askola;Askola;3;Maaseutumaiset kunnat;015;Porvoo;01;Uusimaa;1;Helsinki-Uusimaa;1;Etel„-Suomen AVI;01;Uudenmaan ELY-keskus;FI1;MANNER-SUOMI;FI1B;Helsinki-Uusimaa;FI1B1;Helsinki-Uusimaa;25;Helsingin ja Uudenmaan SHP;02;Uudenmaan vaalipiiri;1;Helsingin hovioikeus;748;It„-Uusimaa
07500;Askola Kirkonkyl„;Askola kyrkby;018;Askola;Askola;3;Maaseutumaiset kunnat;015;Porvoo;01;Uusimaa;1;Helsinki-Uusimaa;1;Etel„-Suomen AVI;01;Uudenmaan ELY-keskus;FI1;MANNER-SUOMI;FI1B;Helsinki-Uusimaa;FI1B1;Helsinki-Uusimaa;25;Helsingin ja Uudenmaan SHP;02;Uudenmaan vaalipiiri;1;Helsingin hovioikeus;748;It„-Uusimaa
07510;Vakkola;Vakkola;018;Askola;Askola;3;Maaseutumaiset kunnat;015;Porvoo;01;Uusimaa;1;Helsinki-Uusimaa;1;Etel„-Suomen AVI;01;Uudenmaan ELY-keskus;FI1;MANNER-SUOMI;FI1B;Helsinki-Uusimaa;FI1B1;Helsinki-Uusimaa;25;Helsingin ja Uudenmaan SHP;02;Uudenmaan vaalipiiri;1;Helsingin hovioikeus;748;It„-Uusimaa
07530;Onkimaa;Onkimaa;018;Askola;Askola;3;Maaseutumaiset kunnat;015;Porvoo;01;Uusimaa;1;Helsinki-Uusimaa;1;Etel„-Suomen AVI;01;Uudenmaan ELY-keskus;FI1;MANNER-SUOMI;FI1B;Helsinki-Uusimaa;FI1B1;Helsinki-Uusimaa;25;Helsingin ja Uudenmaan SHP;02;Uudenmaan vaalipiiri;1;Helsingin hovioikeus;748;It„-Uusimaa
07580;Tiil„„;Tiil„„;018;Askola;Askola;3;Maaseutumaiset kunnat;015;Porvoo;01;Uusimaa;1;Helsinki-Uusimaa;1;Etel„-Suomen AVI;01;Uudenmaan ELY-keskus;FI1;MANNER-SUOMI;FI1B;Helsinki-Uusimaa;FI1B1;Helsinki-Uusimaa;25;Helsingin ja Uudenmaan SHP;02;Uudenmaan vaalipiiri;1;Helsingin hovioikeus;748;It„-Uusimaa
07590;Huuvari-Tiil„„;Huuvari-Tiil„„;018;Askola;Askola;3;Maaseutumaiset kunnat;015;Porvoo;01;Uusimaa;1;Helsinki-Uusimaa;1;Etel„-Suomen AVI;01;Uudenmaan ELY-keskus;FI1;MANNER-SUOMI;FI1B;Helsinki-Uusimaa;FI1B1;Helsinki-Uusimaa;25;Helsingin ja Uudenmaan SHP;02;Uudenmaan vaalipiiri;1;Helsingin hovioikeus;748;It„-Uusimaa
